week_ending,scope,neighborhood,known_listings,no_fee_listings,pct_no_fee
2026-06-09,metro,Greater Boston,6321,4957,78.4
2026-06-09,neighborhood,Oak Square,127,115,90.6
2026-06-09,neighborhood,Allston,707,618,87.4
2026-06-09,neighborhood,Longwood,69,60,87.0
2026-06-09,neighborhood,Brighton,1421,1235,86.9
2026-06-09,neighborhood,Boston Downtown,64,55,85.9
2026-06-09,neighborhood,South Boston,122,100,82.0
2026-06-09,neighborhood,Back Bay,217,176,81.1
2026-06-09,neighborhood,Aspinwall Hill,55,44,80.0
2026-06-09,neighborhood,North Brookline,164,131,79.9
2026-06-09,neighborhood,Jamaica Plain,88,69,78.4
2026-06-09,neighborhood,Cambridge,532,413,77.6
2026-06-09,neighborhood,Beacon Hill,178,137,77.0
2026-06-09,neighborhood,Somerville,341,261,76.5
2026-06-09,neighborhood,Dorchester,77,58,75.3
2026-06-09,neighborhood,North End,76,57,75.0
2026-06-09,neighborhood,Roxbury,195,144,73.8
2026-06-09,neighborhood,South End,90,66,73.3
2026-06-09,neighborhood,Fenway,591,429,72.6
2026-06-09,neighborhood,Chestnut Hill,64,44,68.8
2026-06-09,neighborhood,Brookline,136,90,66.2
2026-06-09,neighborhood,Corey Hill,65,43,66.2
2026-06-09,neighborhood,Mission Hill,251,160,63.7
2026-06-09,neighborhood,Coolidge Corner,109,57,52.3
2026-06-09,neighborhood,East Boston,123,55,44.7
