week_ending,scope,neighborhood,pct_no_fee_of_stating,pct_stating_fee
2026-08-01,metro,Greater Boston,97.8,90.2
2026-08-01,neighborhood,Central Square,100.0,87.5
2026-08-01,neighborhood,East Boston,100.0,86.8
2026-08-01,neighborhood,East Cambridge,100.0,93.7
2026-08-01,neighborhood,Spring Hill,100.0,95.1
2026-08-01,neighborhood,Roxbury,99.4,94.1
2026-08-01,neighborhood,Dorchester,99.1,88.7
2026-08-01,neighborhood,Allston,98.7,88.4
2026-08-01,neighborhood,Chestnut Hill,98.7,79.8
2026-08-01,neighborhood,Boston Downtown,98.5,88.2
2026-08-01,neighborhood,Winter Hill,98.2,90.5
2026-08-01,neighborhood,Somerville,98.2,91.8
2026-08-01,neighborhood,Roslindale,98.1,90.0
2026-08-01,neighborhood,Harvard Square,98.0,91.1
2026-08-01,neighborhood,South Boston,97.9,87.4
2026-08-01,neighborhood,Boston,97.6,90.4
2026-08-01,neighborhood,Cambridge,97.5,90.8
2026-08-01,neighborhood,Brookline,97.3,85.3
2026-08-01,neighborhood,Fenway,97.2,90.3
2026-08-01,neighborhood,Beacon Hill,96.8,90.5
2026-08-01,neighborhood,Brighton,96.7,90.6
2026-08-01,neighborhood,South End,96.3,90.4
2026-08-01,neighborhood,North End,96.2,97.2
2026-08-01,neighborhood,Mission Hill,96.1,96.3
2026-08-01,neighborhood,Jamaica Plain,95.9,86.6
2026-08-01,neighborhood,Coolidge Corner,95.8,80.4
2026-08-01,neighborhood,Back Bay,95.3,89.7
