week_ending,scope,scope_value,beds,median_rent,p25,p75
2026-07-01,metro,Greater Boston,0,2295,2025,2500
2026-07-01,metro,Greater Boston,1,2750,2400,3150
2026-07-01,metro,Greater Boston,2,3395,2900,3925
2026-07-01,metro,Greater Boston,3,3900,3375,4650
2026-07-01,metro,Greater Boston,4+,5000,4200,6000
2026-07-01,neighborhood,Allston,0,2025,1925,2135
2026-07-01,neighborhood,Allston,1,2380,2200,2600
2026-07-01,neighborhood,Allston,2,3040,2780,3800
2026-07-01,neighborhood,Allston,3,3600,3250,4000
2026-07-01,neighborhood,Allston,4+,5200,4600,6000
2026-07-01,neighborhood,Back Bay,0,2500,2195,2819
2026-07-01,neighborhood,Back Bay,1,3150,2850,3500
2026-07-01,neighborhood,Back Bay,2,4300,3763,4775
2026-07-01,neighborhood,Back Bay,3,5500,5263,5875
2026-07-01,neighborhood,Beacon Hill,0,2350,2090,2600
2026-07-01,neighborhood,Beacon Hill,1,2870,2600,3200
2026-07-01,neighborhood,Beacon Hill,2,3575,3350,3950
2026-07-01,neighborhood,Beacon Hill,3,4598,4356,4900
2026-07-01,neighborhood,Boston,0,2270,2025,2500
2026-07-01,neighborhood,Boston,1,2700,2395,3100
2026-07-01,neighborhood,Boston,2,3300,2825,3950
2026-07-01,neighborhood,Boston,3,3798,3300,4600
2026-07-01,neighborhood,Boston,4+,4995,4100,6000
2026-07-01,neighborhood,Boston Downtown,0,2550,2450,2725
2026-07-01,neighborhood,Boston Downtown,1,3263,3000,3913
2026-07-01,neighborhood,Boston Downtown,2,5050,4213,6600
2026-07-01,neighborhood,Brighton,0,2050,1950,2200
2026-07-01,neighborhood,Brighton,1,2400,2250,2600
2026-07-01,neighborhood,Brighton,2,2900,2700,3200
2026-07-01,neighborhood,Brighton,3,3600,3300,4000
2026-07-01,neighborhood,Brighton,4+,4600,4200,5500
2026-07-01,neighborhood,Brookline,0,2313,2096,2550
2026-07-01,neighborhood,Brookline,1,2995,2675,3250
2026-07-01,neighborhood,Brookline,2,3600,3245,3995
2026-07-01,neighborhood,Brookline,3,4500,4050,5035
2026-07-01,neighborhood,Brookline,4+,5900,4925,6600
2026-07-01,neighborhood,Brookline Village,2,3500,3100,4200
2026-07-01,neighborhood,Cambridge,0,2400,2123,2600
2026-07-01,neighborhood,Cambridge,1,2900,2552,3235
2026-07-01,neighborhood,Cambridge,2,3697,3200,4195
2026-07-01,neighborhood,Cambridge,3,4200,3600,4775
2026-07-01,neighborhood,Cambridge,4+,5100,4600,6250
2026-07-01,neighborhood,Charlestown,1,3172,3012,3360
2026-07-01,neighborhood,Charlestown,2,3900,3700,4600
2026-07-01,neighborhood,Chestnut Hill,2,3000,2600,3790
2026-07-01,neighborhood,Chinatown,1,3405,2700,3593
2026-07-01,neighborhood,Chinatown,2,4928,3850,5145
2026-07-01,neighborhood,Coolidge Corner,0,2335,2090,2812
2026-07-01,neighborhood,Coolidge Corner,1,3000,2700,3295
2026-07-01,neighborhood,Coolidge Corner,2,3650,3350,3950
2026-07-01,neighborhood,Coolidge Corner,3,4500,4220,5035
2026-07-01,neighborhood,Coolidge Corner,4+,5423,5000,6400
2026-07-01,neighborhood,Dorchester,1,2500,2323,2995
2026-07-01,neighborhood,Dorchester,2,2850,2600,3231
